Name,Address,Phone,Website,Needs,Description,Hours,Cost,Status
Chad's Hope Center,"300 Chad McWhorter Ln, Manchester, KY 40962",606-599-9716,,community,,,unknown,active
Christian Appalachian Project,"Outreach RR4, Mt. Vernon, KY 40456",606-256-4810,,community,,,unknown,active
Community Outreach Center,"1 Fayette Properties 1-C, Manchester, KY 40962",606-598-5127,,community,,,unknown,active
Cumberland River Behavioral Health,"Barbourville, Corbin, Harlan, London, Pineville, Manchester, McKee, Middlesboro, Mt. Vernon, Williamsburg",606-896-2466; 606-837-0100; 606-598-5172,https://crbhky.org,health; mental-health,Inpatient and outpatient behavioral health services,,unknown,active
Cumberland Valley Aging & Disability Resource,Statewide,606-877-5763,,community,Senior and disability services,,unknown,active
Cumberland Valley Child Advocacy Center,Statewide,606-878-9116; 1-877-597-2331,https://cv-cac.org,family,Child advocacy services.,,unknown,active
Daniel Boone Community Action Agency,"1535 Shamrock Rd, Manchester, KY 40962",606-598-5127,,community,CSBG Homeless Program.,,unknown,active
Dismas Charities Manchester,"845 Muddy Gap Rd, Manchester, KY 40962",606-598-5555,,community,,,unknown,active
Emergency Shelter - Cumberland Valley DV Services,Statewide,606-256-9511; 800-755-5348,https://cvdvs.org,food; shelter; clothing; crisis; family,"20-bed emergency shelter for DV victims and children. Food, clothing, basic necessities.",,unknown,active
Grief Support Group,"London, KY",606-312-1513,,community,Contact Sharon Kidd.,,unknown,active
Homeless and Housing Coalition of KY,Statewide,,https://hhck.org,housing,Housing programs.,,unknown,active
Housing Authority of Manchester,"306 Town Branch Rd, Manchester, KY 40962",606-598-3884,https://housingauthorityofmanchester.com,housing,,,unknown,active
Isaiah House,"Chaplin, Louisville, Williamsburg, Willisburg, Versailles, Harrodsburg, Danville, Georgetown, Hillview, KY",859-375-9200,https://isaiah-house.org,mental-health; addiction; jobs; family; education,"Addiction recovery: family/marriage/couples counseling, GED/college classes, job skill training, individual/group therapy, detox, DOC case management",,unknown,active
Manchester Miracles,"Manchester, KY",606-681-6060,,housing; health; addiction; jobs,"Sober living, clinical services, life skills, job assistance.",,unknown,active
Mommy & Me,Statewide,606-603-2486,,family,Helps women with children.,,unknown,active
Mortgage and Credit Counseling - Apprisen,"2265 Harrodsburg Rd, Lexington, KY 40504",800-355-2227,https://apprisen.com,mental-health,"HUD-approved counseling, mortgage delinquency, foreclosure prevention, reverse mortgage.",,unknown,active
Red Bird Mission,"70 Queendale Center, Beverly, KY 40913",606-598-0520,https://rbmission.org,food; clothing; jobs; family; transportation; education,"Food, clothing, household items, furniture, transportation, GED, tax prep, prenatal education, daycare, school K-12.",,unknown,active
VOA Recovery - Freedom House Manchester,"8467 US-421, Manchester, KY 40962",606-603-2486,https://voamid.org,housing; addiction,Recovery housing.,,free,active
