Name,Address,Phone,Website,Needs,Description,Hours,Cost,Status
Apprisen,"2265 Harrodsburg Rd, Lexington, KY 40504",800-355-2227,https://apprisen.com,mental-health,"HUD-approved counseling, mortgage delinquency, foreclosure prevention.",,unknown,active
CASA - Court Appointed Special Advocate,Statewide,606-389-5968,,legal; family,Child advocacy.,,unknown,active
Christian Life Fellowship,"165 Black St, Barbourville, KY 40906",606-546-9415,,food,Food assistance.,,unknown,active
Church of the Nazarene Basket Ministry,"409 Master St, Corbin, KY 40701",606-528-5935,,community,,,unknown,active
Corbin Presbyterian Church,"601 Master Ct, Corbin, KY 40701",606-528-1444,,food,Food assistance.,,unknown,active
Cumberland River Behavioral Health - Barbourville,"Barbourville, KY",606-546-3104,https://crbhky.org,health; mental-health,Behavioral health services.,,unknown,active
Cumberland River Comprehensive Care Center,"American Greeting Card Rd, Corbin, KY 40701",606-528-7010,https://crbhky.org,health; mental-health; addiction; crisis; family; transportation; community,"Community mental health, substance abuse, developmental disabilities, supportive living, children's services, First Steps.",,unknown,active
Emergency Fund Services,"P.O. Box 8, Barbourville, KY 40906",606-546-3152,,food; crisis,"Emergency assistance, food.",,unknown,active
First Baptist Church Barbourville,"201 N. Main St, Barbourville, KY",606-546-3636,,food,Food assistance.,,unknown,active
First United Methodist Church Barbourville,"312 N. Main St, Barbourville, KY",606-546-3695,,food,Food assistance.,,unknown,active
Housing Authority of Corbin,"1336 Madison Ave, Corbin, KY 40701",606-528-5104,https://affordablehousing.com,housing,,,unknown,active
KCEOC Women's Emergency Support Center,"U.S. Hwy 25E, Barbourville, KY 40906",606-546-3152,,food; shelter; clothing; crisis; family; transportation,"Women and children. 15 semi-private beds. Meals, clothing, supportive services, transportation.",,private-pay,active
Mental Health - Cumberland River Comprehensive Care,"Rt. 9 Box 940, Manchester, KY 40962",606-598-5172; 606-546-3104,https://crbhky.org,health; mental-health; addiction; crisis; family; transportation; community,"Community mental health, substance abuse, developmental disabilities, supportive living, children's services, First Steps.",,unknown,active
New Hope Counseling Recovery,Statewide,606-594-7479,https://nhcr4u.com,mental-health; addiction,"Inspiring hope, changing lives.",,unknown,active
New Hope Village Apartments,"P.O. Box 568, Corbin, KY 40701",606-528-7010 ext 202,,housing,11 one-bedroom units for mentally ill adults.,,unknown,active
Redemption Road Recovery,"Barbourville, KY",606-545-5169,,addiction,,,unknown,active
The Everlasting Arm,"2006 S. Main St, Corbin, KY 40701",606-528-3669,https://theeverlastingarminc@gmail.com,food; shelter; clothing; crisis,16-bed emergency shelter up to 90 days. Food and clothing bank.,,unknown,active
