Name,Address,Phone,Website,Needs,Description,Hours,Cost,Status
Bethany House Abuse Shelter,"Somerset, KY",800-755-2017,,shelter; crisis,Abuse shelter.,,unknown,active
God's Food Pantry,"119 S Central Ave, Somerset, KY",606-679-8560,,food,Food assistance.,,unknown,active
Help for Homeless,"Somerset, KY",606-875-3893,,community,Homeless assistance.,,unknown,active
High Street Baptist Church,"102 Bourne Ave, Somerset, KY",606-678-8973,,food,Food assistance.,,unknown,active
Housing Authority of Somerset,"400 Hail Knob Rd, Somerset, KY 42503",606-679-1332,https://affordablehousing.com,housing,,,unknown,active
Lake Cumberland Recovery,"8294 US Hwy 27, Burnside, KY 42519",606-341-1160,https://lcrecovery.com,addiction,"24-hour intake. Genesis House (16-bed female), Lighthouse (48-bed male), Exodus Outpatient.",,unknown,active
Life Abundant Ministries,"303 S. Main St, Somerset, KY",606-677-0088,,food,Food assistance.,,unknown,active
Open Arms Recovery Center,"166 Griffin Ave, Somerset, KY 42501",859-494-2656,https://openarmsrecovery.org,addiction; community,"Structured individualized treatment, long-term sobriety, harm reduction, community integration.",,unknown,active
Pregnancy Center,"Louisville, KY",502-640-1788; 859-300-1503,,family,Pregnancy support services.,,unknown,active
Somerset Community College,"808 Monticello St, Somerset, KY 42501",606-451-6885,https://somerset.kctcs.edu,education; community,Human & Social Services classes.,,unknown,active
United Way,"208 E. Mt Vernon St, Somerset, KY",606-679-2974,,food,Food assistance.,,unknown,active
