Name,Address,Phone,Website,Needs,Description,Hours,Cost,Status
988 Suicide Hotline & Crisis Lifeline,Statewide,,https://988lifeline.org,crisis; documents,call or text 988 or chat,,unknown,active
Adoption Hotline,Statewide,800-432-9346,,crisis,hotline,,unknown,active
Adult Abuse Hotline,Statewide,800-752-6200,,crisis; transportation,hotline,,unknown,active
Adult and Child Health Hotline,Statewide,800-462-6122,,health; crisis; family,haline,,unknown,active
Alcohol/Addiction Rehab Program,Statewide,,https://faith-based rehab program,addiction,,,unknown,active
Alcohol/Drug Hotline,Statewide,800-729-6686,,addiction; crisis,hotline,,unknown,active
Alcoholics Anonymous,Statewide,800-467-8091,,addiction,12-step recovery support,,unknown,active
Appalachian Research & Defense Fund of KY,Statewide,866-277-5733,https://Free legal assistance based on eligibility,community,,,unknown,active
Battered Women Justice Project,Statewide,800-903-0111,,crisis; legal,Domestic violence hotline,,unknown,active
Bluegrass First Steps,Statewide,800-454-2764,,health; addiction; family,Maternal/child health,,unknown,active
Cabinet for Health and Family Services,Statewide,855-306-8959,,food; health; family,Food Stamps/Medical Card,,unknown,active
Cancer Information Services,Statewide,800-422-6237,,addiction; crisis,Cancer support hotline,,unknown,active
CASA - Court Appointed Special Advocate for Children,Statewide,606-389-5968,https://casaclayknoxlaurel.com,legal; family,Child advocacy,,unknown,active
Child Care Assistance,Statewide,855-306-8959,https://kynect.ky.gov,documents; family,Child care subsidy,,unknown,active
Child Protection Hotline,Statewide,877-597-2331,,crisis; family; transportation,Report child abuse,,unknown,active
Child Support Information,Statewide,800-248-1163,,addiction; family,Child support enforcement,,unknown,active
Child Support Voice Response,Statewide,800-443-1576,,addiction; family,Child support information,,unknown,active
Combat Vets Association,Statewide,931-206-4043,,veterans,Veterans support,,unknown,active
Community Based Services,Statewide,800-635-2570,,community,Social services,,unknown,active
Community Mental Health Centers,Statewide,800-928-8000,,health; mental-health; community,Mental health referrals,,unknown,active
Consumer Product Safety Commission,Statewide,800-638-2772,,community,Product safety,,unknown,active
Crisis - General,Statewide,800-592-3980,,crisis,General crisis hotline,,unknown,active
Crisis for Parents - 1-800-Children,Statewide,800-432-9251,,crisis; family,Parenting crisis support,,unknown,active
Crisis Text Line,Statewide,,,crisis,Text or call for crisis support,,unknown,active
DAV - Disabled American Veterans,Statewide,,https://Veterans with disabilities,veterans,,,unknown,active
Department for Housing,Statewide,800-669-9777,,housing,Housing assistance,,unknown,active
Department for Medicaid Services,Statewide,800-635-2570,,health; documents,Medicaid enrollment,,insurance,active
Dept of Health and Human Services,Statewide,,"https://Federal resources for homelessness, trafficking, refugees",health,,,unknown,active
Domestic Violence Prevention Board,Statewide,800-258-3803,,crisis,Domestic violence hotline,,unknown,active
Find Help Now KY,Statewide,,,community,Help line for services,,unknown,active
Food and Drug Administration,Statewide,800-332-4010,,food; addiction,Medication and food safety,,unknown,active
Food for the Poor,Statewide,,https://Food assistance organization,food,,,unknown,active
Food Stamp Case Changes Reporting,Statewide,800-248-5861,,food,SNAP reporting,,unknown,active
Foster Care Information,Statewide,800-232-5437,,addiction; family,Foster care information,,unknown,active
GPS - Getting Peace for Those Who Served,Statewide,606-215-1417,,mental-health; addiction; crisis; documents; jobs; family; transportation; veterans,"Veteran emotional support, readjustment therapy, family/marriage/substance abuse counseling, spiritual guidance, financial management, job placement",,unknown,active
Grace Health,Statewide,888-883-9005,https://gracehealthky.org,health; mental-health,"Behavioral health, Comprehensive Care, Medication Management, Targeted Case Management, Referral Services",,unknown,active
Greyhound Free Ticket Home for Runaways,Statewide,1-800-786-2929,https://www.1800runaway.org/youth-teens/home-free,family; transportation,Free bus ticket home for runaway youth,,free,active
