Name,Address,Phone,Website,Needs,Description,Hours,Cost,Status
Anchored Ministries,"Williamsburg, KY",606-765-7336,,community,Free if no insurance.,,free,active
Appalachian Phoenix House,"401 Roy Kidd Ave, Corbin, KY 40701",606-528-4381,,community,17-bed residential program for mentally ill men and women.,,unknown,active
Baptist Health Trillium Center,"1 Trillium Way #5, Corbin, KY 40701",606-528-1212,https://baptisthealth.com,health; addiction,Detox services.,,unknown,active
Bell-Whitley Community Action Agency,"U.S. Hwy 25W, Williamsburg, KY 40769",606-549-3933,,food; shelter; community,"Food, shelter, natural disaster emergency funds.",,unknown,active
Catholic Church,"76 W. Sycamore St, Williamsburg, KY",606-549-2156,,food,Food assistance.,,unknown,active
Cedaridge Ministries,"Factory Ln, Williamsburg, KY",606-549-1373,,food,Food assistance.,,unknown,active
Corbin United Effort,"311 Barbourville St, Corbin, KY 40701",606-528-7523,,food; housing; clothing; health,"Food pantry, meals, housing help, clothing, healthcare, system navigation.",,unknown,active
Cumberland River Behavioral Health - Corbin,"Corbin, KY",606-526-9459,https://crbhky.org,health; mental-health,Behavioral health services.,,unknown,active
Cumberland River Behavioral Health - Williamsburg,"Williamsburg, KY",606-549-1440,https://crbhky.org,health; mental-health,Behavioral health.,,unknown,active
Cumberland Valley DV Services,"P.O. Box 2162, London, KY 40456",606-256-9511; 800-755-5348; 606-843-2022,https://cvdvs.org,food; shelter; clothing; crisis,"20-bed emergency shelter for DV victims. Food, clothing, necessities.",,unknown,active
Cumberland Valley Regional Housing Authority,"221 N. 3rd St, Williamsburg, KY 40769",,https://affordablehousing.com,housing,,,unknown,active
Emergency Christian Ministries,"630 South Hwy 25, Williamsburg, KY 40769",606-549-2922; 606-400-1464,,food; shelter; clothing; family,"75 beds. Men, women, children. Food, clothing, supportive services.",,unknown,active
Feeding Souls for Jesus,"Parkway Ministries, Corbin, KY",606-521-2349,https://facebook.com/feedingsoulsforjesus,food,Emergency food service.,,unknown,active
First Baptist Church Corbin,"401 N. Laurel Ave, Corbin, KY 40701",606-528-4738,,food,Food assistance.,,unknown,active
First Baptist Church Williamsburg,"230 5th St, Williamsburg, KY",606-549-0280,,food,Food assistance.,,unknown,active
Hope Place Corbin,"409 Master St, Corbin, KY 40701",606-215-6285,https://hopeplaceky.org,community,Transitional support.,,unknown,active
Independence House,Statewide,606-523-9386,,addiction; crisis,Substance abuse treatment for women. 5-bed transitional (6 months) and 10-bed short-term (30 days).,,unknown,active
Isaiah 58:10 Ministries,"220 E. 4th St, London, KY 40741",502-801-9119,https://is5810.com,food; clothing,"Sack lunches, blankets, jackets, cold weather supplies, resource guides. Soup Kitchen Mon/Tues/Thurs/Fri/Sat 11am-1pm at Good Samaritan House.",Mon/Tues/Thurs/Fri/Sat 11am-1pm,unknown,active
Medical/Mental Health - Cumberland River Comprehensive Care,"P.O. Box 84, Williamsburg, KY 40769",606-549-1440,https://crbhky.org,health; mental-health; addiction; crisis; family; community,"Community mental health, substance abuse, developmental disabilities, supportive living, children's services, First Steps.",,unknown,active
Mercy Mountain Housing,"1866 Whetstone Rd, Rockholds, KY 40759",866-338-0557,,housing,Rental and acquisition for transitional and permanent housing.,,unknown,active
Mortgage/Credit Counseling - Apprisen,"2265 Harrodsburg Rd, Lexington, KY 40504",800-355-2227,https://apprisen.com,mental-health,"HUD-approved counseling, foreclosure prevention, reverse mortgage.",,unknown,active
Mountain Outreach,"Williamsburg, KY",800-343-1609,https://ucumberlands.edu,food,"Food assistance, minor home repairs, house builds, construction projects.",,unknown,active
Whitley County Health Department,"368 Penny Ln, Williamsburg, KY 40769",606-549-3380,https://whitleycountyhealthdepartment.com,health,"Clinical services, public health.",,unknown,active
Williamsburg Housing Authority,"600 Brush Arbour Church Rd, Williamsburg, KY",606-549-0282,https://affordablehousing.com,housing,,,unknown,active
