Name,Address,City,State,Zip,County,Phone,Website,Needs,Service Types,Populations,Description,Eligibility,Cost,Hours,Languages,What to Bring,Referral Required,Intake Hours,Map URL,Status,Intake Process,Last Verified,Confidence,Notes
211 - National Resource Helpline,Statewide,,KY,,Statewide,211,https://211.org,community,walk-in,anyone,National resource information and referrals for local services,,unknown,,English,,True,,,active,,2026-09-20,medium,
4th Dimension Treatment Center,"Harlan, KY",,KY,,Harlan,606-621-5007; 606-273-2134,https://4thdimentiontreatment.com,mental-health; addiction; family; community,residential; outpatient; peer-led,families; men,"Residential treatment, individual/group/family therapy, adventure therapy, 12-step, case management, peer support.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Harlan,+KY",active,,2026-09-20,medium,
988 Suicide Hotline & Crisis Lifeline,Statewide,,KY,,Statewide,988,https://988lifeline.org,crisis,hotline,anyone,call or text 988 or chat,,unknown,,English,,,,,active,,2026-09-20,medium,
Adoption Hotline,Statewide,,KY,,Statewide,800-432-9346,,crisis,hotline,anyone,hotline,,unknown,,English,,,,,active,,2026-09-20,medium,
Adult Abuse Hotline,Statewide,,KY,,Statewide,800-752-6200,,crisis,hotline,anyone,hotline,,unknown,,English,,,,,active,,2026-09-20,medium,
Adult and Child Health Hotline,Statewide,,KY,,Statewide,800-462-6122,,health; crisis; family,hotline,youth,haline,,unknown,,English,,,,,active,,2026-09-20,medium,
Alcohol/Addiction Rehab Program,Statewide,,KY,,Statewide,,https://faith-based rehab program,addiction,walk-in,substance-use,,,unknown,,English,,,,,active,,2026-09-20,medium,
Alcohol/Drug Hotline,Statewide,,KY,,Statewide,800-729-6686,,addiction; crisis,hotline,substance-use,hotline,,unknown,,English,,,,,active,,2026-09-20,medium,
Alcoholics Anonymous,Statewide,,KY,,Statewide,800-467-8091,,addiction,walk-in,substance-use,12-step recovery support,,unknown,,English,,,,,active,,2026-09-20,medium,
Anchored Ministries,"Williamsburg, KY",,KY,,Whitley,606-765-7336,,community,walk-in,anyone,Free if no insurance.,,free,,English,,,,"https://www.google.com/maps/search/?api=1&query=Williamsburg,+KY",active,,2026-09-20,medium,
Appalachian Phoenix House,"401 Roy Kidd Ave, Corbin, KY 40701",Corbin,KY,40701,Whitley,606-528-4381,,community,residential; online,women; men,17-bed residential program for mentally ill men and women.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=401+Roy+Kidd+Ave,+Corbin,+KY+40701",active,,2026-09-20,medium,
Appalachian Research & Defense Fund of KY,Statewide,,KY,,Statewide,866-277-5733,https://Free legal assistance based on eligibility,community,online,anyone,,,unknown,,English,,,,,active,,2026-09-20,medium,
Apprisen,"2265 Harrodsburg Rd, Lexington, KY 40504",Lexington,KY,40504,Knox,800-355-2227,https://apprisen.com,mental-health,outpatient; online,anyone,"HUD-approved counseling, mortgage delinquency, foreclosure prevention.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=2265+Harrodsburg+Rd,+Lexington,+KY+40504",active,,2026-09-20,medium,
ARC - Addiction Recovery Care,Statewide,,KY,,Lawrence,888-351-1761; 833-647-0674; 606-638-0938,https://arccenters.com,health; addiction; family,residential; outpatient,families; women; men; substance-use,"Residential Treatment, Outpatient Treatment, ARC Anywhere, Bellefonte Hospital & Recovery Care, Karen's Place Maternity Center",,unknown,,English,,,,,active,,2026-09-20,medium,
Baptist Health Trillium Center,"1 Trillium Way #5, Corbin, KY 40701",Corbin,KY,40701,Whitley,606-528-1212,https://baptisthealth.com,health; addiction,faith-based,anyone,Detox services.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1+Trillium+Way+#5,+Corbin,+KY+40701",active,,2026-09-20,medium,
Battered Women Justice Project,Statewide,,KY,,Statewide,800-903-0111,,crisis; legal,hotline,women; men; re-entry,Domestic violence hotline,,unknown,,English,,,,,active,,2026-09-20,medium,
Beacon of Hope,"Winchester, KY",,KY,,Clark,859-644-5171,,shelter; addiction; crisis,residential,substance-use,Emergency shelter with random drug testing.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Winchester,+KY",active,,2026-09-20,medium,
Bell-Whitley Community Action Agency,"U.S. Hwy 25W, Williamsburg, KY 40769",Williamsburg,KY,40769,Whitley,606-549-3933,,food; shelter; crisis; community,residential,anyone,"Food, shelter, natural disaster emergency funds.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=U.S.+Hwy+25W,+Williamsburg,+KY+40769",active,,2026-09-20,medium,
Bethany House Abuse Shelter,"Somerset, KY",,KY,,Pulaski,800-755-2017,,shelter; crisis,residential,anyone,Abuse shelter.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Somerset,+KY",active,,2026-09-20,medium,
BG Recovery,"711 E Loudon Ave, Lexington, KY 40505",Lexington,KY,40505,Fayette,859-333-4128; 214-566-1078,https://bgrecovery.org,housing; addiction; transportation; education; community,residential; outpatient; peer-led,anyone,"Recovery education, IOP/OP, peer support, transportation, housing assistance.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=711+E+Loudon+Ave,+Lexington,+KY+40505",active,,2026-09-20,medium,
Blessings of Hope,"315 Bradfordsville Rd, Campbellsville, KY 42718",Campbellsville,KY,42718,Taylor,717-824-1227,https://blessingsofhope.com,food,walk-in,men,Food procurement.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=315+Bradfordsville+Rd,+Campbellsville,+KY+42718",active,,2026-09-20,medium,
Bluegrass First Steps,Statewide,,KY,,Statewide,800-454-2764,,health; family,walk-in,youth,Maternal/child health,,unknown,,English,,,,,active,,2026-09-20,medium,
Cabinet for Health and Family Services,Statewide,,KY,,Statewide,855-306-8959,,food; health; family,walk-in,families,Food Stamps/Medical Card,,unknown,,English,,,,,active,,2026-09-20,medium,
Cancer Information Services,Statewide,,KY,,Statewide,800-422-6237,,crisis,hotline,anyone,Cancer support hotline,,unknown,,English,,,,,active,,2026-09-20,medium,
CASA - Court Appointed Special Advocate,Statewide,,KY,,Knox,606-389-5968,,legal; family,online,youth,Child advocacy.,,unknown,,English,,,,,active,,2026-09-20,medium,
CASA - Court Appointed Special Advocate for Children,Statewide,,KY,,Statewide,606-389-5968,https://casaclayknoxlaurel.com,legal; family,online,families; youth,Child advocacy,,unknown,,English,,,,,active,,2026-09-20,medium,
