id,name,alternate_names,description,address,city,state,zip,county,latitude,longitude,phones,email,url,facebook,needs,service_types,populations,eligibility,cost,hours,languages,what_to_bring,referral_required,intake_hours,map_url,status,intake_process,capacity,waitlist,accepts_insurance,verification_status,last_verified,verified_by,confidence,source_urls,first_seen,tags,notes,related
harlan-4th-dimension-treatment-center,4th Dimension Treatment Center,,"Residential treatment, individual/group/family therapy, adventure therapy, 12-step, case management, peer support.","Harlan, KY",,KY,,Harlan,,,606-621-5007|606-273-2134,,https://4thdimentiontreatment.com,,mental-health|addiction|documents|family|community,residential|outpatient|peer-led,families|men,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Harlan,+KY",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
988-suicide-hotline-crisis-lifeline,988 Suicide Hotline & Crisis Lifeline,,call or text 988 or chat,Statewide,,KY,,Statewide,,,,,https://988lifeline.org,,crisis|documents,hotline,anyone,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
adoption-hotline,Adoption Hotline,,hotline,Statewide,,KY,,Statewide,,,800-432-9346,,,,crisis,hotline,anyone,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
adult-abuse-hotline,Adult Abuse Hotline,,hotline,Statewide,,KY,,Statewide,,,800-752-6200,,,,crisis|transportation,hotline,anyone,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
adult-and-child-health-hotline,Adult and Child Health Hotline,,haline,Statewide,,KY,,Statewide,,,800-462-6122,,,,health|crisis|family,hotline,youth,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
alcoholaddiction-rehab-program,Alcohol/Addiction Rehab Program,,,Statewide,,KY,,Statewide,,,,,https://faith-based rehab program,,addiction,walk-in,substance-use,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
alcoholdrug-hotline,Alcohol/Drug Hotline,,hotline,Statewide,,KY,,Statewide,,,800-729-6686,,,,addiction|crisis,hotline,substance-use,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
alcoholics-anonymous,Alcoholics Anonymous,,12-step recovery support,Statewide,,KY,,Statewide,,,800-467-8091,,,,addiction,walk-in,substance-use,,unknown,,English,,,,,active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
whitley-anchored-ministries,Anchored Ministries,,Free if no insurance.,"Williamsburg, KY",,KY,,Whitley,,,606-765-7336,,,,community,walk-in,anyone,,free,,English,,,,"https://www.google.com/maps/search/?api=1&query=Williamsburg,+KY",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
knox-appalachian-phoenix-house,Appalachian Phoenix House,,17-bed residential program for mentally ill men and women.,"401 Roy Kidd Ave, Corbin, KY 40701",Corbin,KY,40701,Whitley,,,606-528-4381,,,,documents,residential|online,women|men,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=401+Roy+Kidd+Ave,+Corbin,+KY+40701",active,,,,,auto-inferred,2026-09-20,initial-import,medium,https://is5810.com/main/resources/,2026-09-20,,,
